"%1$s was successfully added to your wishlist.","%1$s was successfully added to your wishlist."
"%s was added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"Add Items to Cart","Artikel in Warenkorb gelegt"
"Add to Cart","In den Warenkorb legen"
"Add to","Einfügen in"
"Authentication...","Anmelden ..."
"Are you sure you would like to remove this item from the shopping cart?","Möchten Sie den Artikel wirklich aus ihrem Warenkorb löschen?"
"As low as:","As low as:"
"Cannot add the item to comparison list.","Kann Artikel nicht in die Vergleichsliste aufnehmen."
"Cannot add the item to shopping cart.","Kann den Artikel nicht in den Warenkorb legen."
"Cannot add the item to wishlist.","Kann den Artikel nicht in die Wunschliste einfügen."
"Cannot remove the item.","Kann den Artikel nicht entfernen."
"Cannot specify product.","Cannot specify product."
"Cart","Warenkorb"
"Compare","Vergleichsliste"
"Continue Shopping","Weiter einkaufen"
"Excl. Tax:","Zuzügl. Steuer:"
"Go to Shopping Cart","Zum Warenkorb"
"Go to Wishlist","Zur Wunschliste"
"Incl. Tax:","Inkl. Steuer:"
"My Cart (%s item)","Warenkorb (%s Artikel)"
"My Cart","Mein Warenkorb"
"Product is not available.","Das Produkt ist nicht verfügbar."
"Qty","Menge"
"Regular Price:","Normalpreis:"
"Special Price:","Sonderpreis:"
"Starting at:","Starting at:"
"The product %s has been added to comparison list.","Der Artikel %s wurde in die Vergleichliste aufgenommen."
"Wishlist","Wunschliste"